Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Molar Extinction Coefficients(M^-1 cm^-1)
 30808.66190727    324.58403379      3.81978864   8688.58130093
 30813.32831546    324.53487839      3.82036720   8539.61208468
 30817.99472364    324.48573787      3.82094576   8396.36657848
 30822.66113183    324.43661223      3.82152432   8258.83261827
 30827.32754002    324.38750147      3.82210289   8126.97325316
 30831.99394821    324.33840557      3.82268145   8000.72766100
 30836.66035640    324.28932453      3.82326001   7880.01215514
 30841.32676459    324.24025834      3.82383857   7764.72127655
 30845.99317277    324.19120699      3.82441713   7654.72896518
 30850.65958096    324.14217049      3.82499569   7549.88980413
 30855.32598915    324.09314882      3.82557425   7450.04032958
 30859.99239734    324.04414197      3.82615281   7355.00039921
 30864.65880553    323.99514994      3.82673137   7264.57461159
 30869.32521372    323.94617272      3.82730994   7178.55376840
 30873.99162190    323.89721031      3.82788850   7096.71637162
 30878.65803009    323.84826270      3.82846706   7018.83014705
 30883.32443828    323.79932988      3.82904562   6944.65358587
 30887.99084647    323.75041184      3.82962418   6873.93749551
 30892.65725466    323.70150859      3.83020274   6806.42655140
 30897.32366285    323.65262010      3.83078130   6741.86084077
 30901.99007103    323.60374638      3.83135986   6679.97739032
 30906.65647922    323.55488742      3.83193842   6620.51166925
 30911.32288741    323.50604321      3.83251698   6563.19905963
 30915.98929560    323.45721374      3.83309555   6507.77628643
 30920.65570379    323.40839901      3.83367411   6453.98279957
 30925.32211198    323.35959902      3.83425267   6401.56210119
 30929.98852016    323.31081375      3.83483123   6350.26301144
 30934.65492835    323.26204319      3.83540979   6299.84086678
 30939.32133654    323.21328735      3.83598835   6250.05864536
 30943.98774473    323.16454621      3.83656691   6200.68801454
 30948.65415292    323.11581978      3.83714547   6151.51029626
 30953.32056111    323.06710803      3.83772403   6102.31734679
 30957.98696929    323.01841097      3.83830260   6052.91234778
 30962.65337748    322.96972858      3.83888116   6003.11050651
 30967.31978567    322.92106087      3.83945972   5952.73966370
 30971.98619386    322.87240783      3.84003828   5901.64080807
 30976.65260205    322.82376944      3.84061684   5849.66849746
 30981.31901024    322.77514570      3.84119540   5796.69118706
 30985.98541842    322.72653661      3.84177396   5742.59146576
 30990.65182661    322.67794216      3.84235252   5687.26620248
 30995.31823480    322.62936234      3.84293108   5630.62660483
 30999.98464299    322.58079714      3.84350965   5572.59819280
 31004.65105118    322.53224657      3.84408821   5513.12069098
 31009.31745936    322.48371060      3.84466677   5452.14784315
 31013.98386755    322.43518925      3.84524533   5389.64715334
 31018.65027574    322.38668249      3.84582389   5325.59955792
 31023.31668393    322.33819032      3.84640245   5259.99903370
 31027.98309212    322.28971274      3.84698101   5192.85214700
 31032.64950031    322.24124974      3.84755957   5124.17754898
 31037.31590849    322.19280131      3.84813813   5054.00542273
 31041.98231668    322.14436744      3.84871670   4982.37688740
 31046.64872487    322.09594814      3.84929526   4909.34336516
 31051.31513306    322.04754339      3.84987382   4834.96591619
 31055.98154125    321.99915318      3.85045238   4759.31454729
 31060.64794944    321.95077752      3.85103094   4682.46749944
 31065.31435762    321.90241639      3.85160950   4604.51051937
 31069.98076581    321.85406978      3.85218806   4525.53612020
 31074.64717400    321.80573770      3.85276662   4445.64283603
 31079.31358219    321.75742013      3.85334518   4364.93447478
 31083.97999038    321.70911707      3.85392375   4283.51937393
 31088.64639857    321.66082850      3.85450231   4201.50966290
 31093.31280675    321.61255443      3.85508087   4119.02053600
 31097.97921494    321.56429485      3.85565943   4036.16953938
 31102.64562313    321.51604975      3.85623799   3953.07587511
 31107.31203132    321.46781913      3.85681655   3869.85972532
 31111.97843951    321.41960297      3.85739511   3786.64159904
 31116.64484770    321.37140127      3.85797367   3703.54170393
 31121.31125588    321.32321403      3.85855223   3620.67934502
 31125.97766407    321.27504124      3.85913080   3538.17235222
 31130.64407226    321.22688289      3.85970936   3456.13653806
 31135.31048045    321.17873897      3.86028792   3374.68518700
 31139.97688864    321.13060948      3.86086648   3293.92857727
 31144.64329683    321.08249442      3.86144504   3213.97353611
 31149.30970501    321.03439377      3.86202360   3134.92302907
 31153.97611320    320.98630753      3.86260216   3056.87578369
 31158.64252139    320.93823570      3.86318072   2979.92594804
 31163.30892958    320.89017826      3.86375928   2904.16278398
 31167.97533777    320.84213521      3.86433784   2829.67039540
 31172.64174596    320.79410655      3.86491641   2756.52749099
 31177.30815414    320.74609226      3.86549497   2684.80718154
 31181.97456233    320.69809234      3.86607353   2614.57681124
 31186.64097052    320.65010679      3.86665209   2545.89782250
 31191.30737871    320.60213559      3.86723065   2478.82565379
 31195.97378690    320.55417875      3.86780921   2413.40966978
 31200.64019509    320.50623625      3.86838777   2349.69312309
 31205.30660327    320.45830809      3.86896633   2287.71314682
 31209.97301146    320.41039426      3.86954489   2227.50077693
 31214.63941965    320.36249476      3.87012346   2169.08100360
 31219.30582784    320.31460958      3.87070202   2112.47285048
 31223.97223603    320.26673871      3.87128058   2057.68948076
 31228.63864422    320.21888215      3.87185914   2004.73832892
 31233.30505240    320.17103988      3.87243770   1953.62125693
 31237.97146059    320.12321191      3.87301626   1904.33473361
 31242.63786878    320.07539823      3.87359482   1856.87003580
 31247.30427697    320.02759883      3.87417338   1811.21347000
 31251.97068516    319.97981370      3.87475194   1767.34661292
 31256.63709335    319.93204284      3.87533051   1725.24656950
 31261.30350153    319.88428624      3.87590907   1684.88624682
 31265.96990972    319.83654390      3.87648763   1646.23464222
 31270.63631791    319.78881581      3.87706619   1609.25714408
 31275.30272610    319.74110195      3.87764475   1573.91584345
 31279.96913429    319.69340234      3.87822331   1540.16985482
 31284.63554248    319.64571695      3.87880187   1507.97564440
 31289.30195066    319.59804579      3.87938043   1477.28736388
 31293.96835885    319.55038885      3.87995899   1448.05718812
 31298.63476704    319.50274611      3.88053756   1420.23565483
 31303.30117523    319.45511758      3.88111612   1393.77200454
 31307.96758342    319.40750325      3.88169468   1368.61451899
 31312.63399161    319.35990311      3.88227324   1344.71085634
 31317.30039979    319.31231715      3.88285180   1322.00838126
 31321.96680798    319.26474537      3.88343036   1300.45448850
 31326.63321617    319.21718777      3.88400892   1279.99691815
 31331.29962436    319.16964433      3.88458748   1260.58406097
 31335.96603255    319.12211505      3.88516604   1242.16525259
 31340.63244074    319.07459993      3.88574461   1224.69105481
 31345.29884892    319.02709895      3.88632317   1208.11352297
 31349.96525711    318.97961212      3.88690173   1192.38645802
 31354.63166530    318.93213942      3.88748029   1177.46564217
 31359.29807349    318.88468084      3.88805885   1163.30905714
 31363.96448168    318.83723639      3.88863741   1149.87708409
 31368.63088987    318.78980605      3.88921597   1137.13268440
 31373.29729805    318.74238983      3.88979453   1125.04156066
 31377.96370624    318.69498771      3.89037309   1113.57229727
 31382.63011443    318.64759968      3.89095165   1102.69648025
 31387.29652262    318.60022574      3.89153022   1092.38879592
 31391.96293081    318.55286589      3.89210878   1082.62710828
 31396.62933900    318.50552012      3.89268734   1073.39251501
 31401.29574718    318.45818842      3.89326590   1064.66938209
 31405.96215537    318.41087078      3.89384446   1056.44535737
 31410.62856356    318.36356720      3.89442302   1048.71136311
 31415.29497175    318.31627768      3.89500158   1041.46156824
 31419.96137994    318.26900220      3.89558014   1034.69334054
 31424.62778813    318.22174076      3.89615870   1028.40717956
 31429.29419631    318.17449336      3.89673727   1022.60663096
 31433.96060450    318.12725998      3.89731583   1017.29818308
 31438.62701269    318.08004063      3.89789439   1012.49114673
 31443.29342088    318.03283529      3.89847295   1008.19751914
 31447.95982907    317.98564396      3.89905151   1004.43183327
 31452.62623726    317.93846664      3.89963007   1001.21099368
 31457.29264544    317.89130331      3.90020863    998.55410014
 31461.95905363    317.84415397      3.90078719    996.48226044
 31466.62546182    317.79701861      3.90136575    995.01839377
 31471.29187001    317.74989724      3.90194432    994.18702620
 31475.95827820    317.70278983      3.90252288    994.01407969
 31480.62468638    317.65569639      3.90310144    994.52665640
 31485.29109457    317.60861691      3.90368000    995.75281975
 31489.95750276    317.56155138      3.90425856    997.72137403
 31494.62391095    317.51449980      3.90483712   1000.46164416
 31499.29031914    317.46746216      3.90541568   1004.00325742
 31503.95672733    317.42043846      3.90599424   1008.37592874
 31508.62313551    317.37342868      3.90657280   1013.60925140
 31513.28954370    317.32643283      3.90715137   1019.73249472
 31517.95595189    317.27945089      3.90772993   1026.77441050
 31522.62236008    317.23248286      3.90830849   1034.76304988
 31527.28876827    317.18552874      3.90888705   1043.72559205
 31531.95517646    317.13858851      3.90946561   1053.68818659
 31536.62158464    317.09166217      3.91004417   1064.67581060
 31541.28799283    317.04474972      3.91062273   1076.71214226
 31545.95440102    316.99785115      3.91120129   1089.81945180
 31550.62080921    316.95096645      3.91177985   1104.01851123
 31555.28721740    316.90409562      3.91235842   1119.32852370
 31559.95362559    316.85723865      3.91293698   1135.76707328
 31564.62003377    316.81039553      3.91351554   1153.35009597
 31569.28644196    316.76356626      3.91409410   1172.09187231
 31573.95285015    316.71675083      3.91467266   1192.00504193
 31578.61925834    316.66994924      3.91525122   1213.10064008
 31583.28566653    316.62316148      3.91582978   1235.38815614
 31587.95207472    316.57638754      3.91640834   1258.87561353
 31592.61848290    316.52962742      3.91698690   1283.56967069
 31597.28489109    316.48288111      3.91756547   1309.47574212
 31601.95129928    316.43614861      3.91814403   1336.59813849
 31606.61770747    316.38942990      3.91872259   1364.94022453
 31611.28411566    316.34272499      3.91930115   1394.50459313
 31615.95052385    316.29603387      3.91987971   1425.29325387
 31620.61693203    316.24935652      3.92045827   1457.30783400
 31625.28334022    316.20269295      3.92103683   1490.54978968
 31629.94974841    316.15604315      3.92161539   1525.02062502
 31634.61615660    316.10940712      3.92219395   1560.72211627
 31639.28256479    316.06278483      3.92277251   1597.65653861
 31643.94897298    316.01617630      3.92335108   1635.82689234
 31648.61538116    315.96958152      3.92392964   1675.23712574
 31653.28178935    315.92300047      3.92450820   1715.89235122
 31657.94819754    315.87643315      3.92508676   1757.79905186
 31662.61460573    315.82987956      3.92566532   1800.96527496
 31667.28101392    315.78333969      3.92624388   1845.40080951
 31671.94742211    315.73681354      3.92682244   1891.11734443
 31676.61383029    315.69030109      3.92740100   1938.12860451
 31681.28023848    315.64380234      3.92797956   1986.45046122
 31685.94664667    315.59731729      3.92855813   2036.10101546
 31690.61305486    315.55084593      3.92913669   2087.10064986
 31695.27946305    315.50438826      3.92971525   2139.47204808
 31699.94587124    315.45794426      3.93029381   2193.24017930
 31704.61227942    315.41151393      3.93087237   2248.43224590
 31709.27868761    315.36509727      3.93145093   2305.07759298
 31713.94509580    315.31869426      3.93202949   2363.20757868
 31718.61150399    315.27230492      3.93260805   2422.85540459
 31723.27791218    315.22592921      3.93318661   2484.05590591
 31727.94432037    315.17956715      3.93376518   2546.84530161
 31732.61072855    315.13321873      3.93434374   2611.26090506
 31737.27713674    315.08688393      3.93492230   2677.34079631
 31741.94354493    315.04056276      3.93550086   2745.12345730
 31746.60995312    314.99425521      3.93607942   2814.64737215
 31751.27636131    314.94796127      3.93665798   2885.95059472
 31755.94276950    314.90168093      3.93723654   2959.07028639
 31760.60917768    314.85541419      3.93781510   3034.04222714
 31765.27558587    314.80916105      3.93839366   3110.90030359
 31769.94199406    314.76292149      3.93897223   3189.67597801
 31774.60840225    314.71669551      3.93955079   3270.39774247
 31779.27481044    314.67048311      3.94012935   3353.09056277
 31783.94121863    314.62428428      3.94070791   3437.77531693
 31788.60762681    314.57809902      3.94128647   3524.46823333
 31793.27403500    314.53192731      3.94186503   3613.18033350
 31797.94044319    314.48576915      3.94244359   3703.91688498
 31802.60685138    314.43962454      3.94302215   3796.67686951
 31807.27325957    314.39349346      3.94360071   3891.45247172
 31811.93966776    314.34737592      3.94417928   3988.22859369
 31816.60607594    314.30127191      3.94475784   4086.98240043
 31821.27248413    314.25518142      3.94533640   4187.68290112
 31825.93889232    314.20910445      3.94591496   4290.29057086
 31830.60530051    314.16304098      3.94649352   4394.75701732
 31835.27170870    314.11699102      3.94707208   4501.02469623
 31839.93811689    314.07095456      3.94765064   4609.02667956
 31844.60452507    314.02493159      3.94822920   4718.68647945
 31849.27093326    313.97892211      3.94880776   4829.91793074
 31853.93734145    313.93292611      3.94938632   4942.62513442
 31858.60374964    313.88694358      3.94996489   5056.70246365
 31863.27015783    313.84097452      3.95054345   5172.03463367
 31867.93656602    313.79501892      3.95112201   5288.49683617
 31872.60297420    313.74907678      3.95170057   5405.95493826
 31877.26938239    313.70314808      3.95227913   5524.26574553
 31881.93579058    313.65723284      3.95285769   5643.27732817
 31886.60219877    313.61133103      3.95343625   5762.82940852
 31891.26860696    313.56544266      3.95401481   5882.75380797
 31895.93501515    313.51956771      3.95459337   6002.87495053
 31900.60142333    313.47370618      3.95517194   6123.01041995
 31905.26783152    313.42785807      3.95575050   6242.97156682
 31909.93423971    313.38202337      3.95632906   6362.56416168
 31914.60064790    313.33620207      3.95690762   6481.58908980
 31919.26705609    313.29039417      3.95748618   6599.84308290
 31923.93346428    313.24459966      3.95806474   6717.11948302
 31928.59987246    313.19881854      3.95864330   6833.20903325
 31933.26628065    313.15305079      3.95922186   6947.90069013
 31937.93268884    313.10729642      3.95980042   7060.98245224
 31942.59909703    313.06155542      3.96037899   7172.24219951
 31947.26550522    313.01582779      3.96095755   7281.46853791
 31951.93191340    312.97011350      3.96153611   7388.45164392
 31956.59832159    312.92441257      3.96211467   7492.98410363
 31961.26472978    312.87872499      3.96269323   7594.86174132
 31965.93113797    312.83305074      3.96327179   7693.88443239
 31970.59754616    312.78738982      3.96385035   7789.85689617
 31975.26395435    312.74174224      3.96442891   7882.58946397
 31979.93036253    312.69610797      3.96500747   7971.89881828
 31984.59677072    312.65048702      3.96558604   8057.60869938
 31989.26317891    312.60487938      3.96616460   8139.55057577
 31993.92958710    312.55928505      3.96674316   8217.56427537
 31998.59599529    312.51370401      3.96732172   8291.49857486
 32003.26240348    312.46813626      3.96790028   8361.21174463
 32007.92881166    312.42258181      3.96847884   8426.57204758
 32012.59521985    312.37704063      3.96905740   8487.45819006
 32017.26162804    312.33151272      3.96963596   8543.75972382
 32021.92803623    312.28599809      3.97021452   8595.37739807
 32026.59444442    312.24049672      3.97079309   8642.22346119
 32031.26085261    312.19500861      3.97137165   8684.22191194
 32035.92726079    312.14953375      3.97195021   8721.30870013
 32040.59366898    312.10407213      3.97252877   8753.43187740
 32045.26007717    312.05862376      3.97310733   8780.55169853
 32049.92648536    312.01318862      3.97368589   8802.64067428
 32054.59289355    311.96776670      3.97426445   8819.68357684
 32059.25930174    311.92235801      3.97484301   8831.67739897
 32063.92570992    311.87696254      3.97542157   8838.63126854
 32068.59211811    311.83158028      3.97600014   8840.56631959
 32073.25852630    311.78621123      3.97657870   8837.51552182
 32077.92493449    311.74085537      3.97715726   8829.52347009
 32082.59134268    311.69551271      3.97773582   8816.64613553
 32087.25775087    311.65018324      3.97831438   8798.95058031
 32091.92415905    311.60486694      3.97889294   8776.51463762
 32096.59056724    311.55956383      3.97947150   8749.42655876
 32101.25697543    311.51427389      3.98005006   8717.78462918
 32105.92338362    311.46899711      3.98062862   8681.69675530
 32110.58979181    311.42373349      3.98120718   8641.28002371
 32115.25620000    311.37848303      3.98178575   8596.66023490
 32119.92260818    311.33324571      3.98236431   8547.97141298
 32124.58901637    311.28802154      3.98294287   8495.35529331
 32129.25542456    311.24281050      3.98352143   8438.96078992
 32133.92183275    311.19761259      3.98409999   8378.94344433
 32138.58824094    311.15242781      3.98467855   8315.46485774
 32143.25464913    311.10725615      3.98525711   8248.69210832
 32147.92105731    311.06209760      3.98583567   8178.79715557
 32152.58746550    311.01695216      3.98641423   8105.95623354
 32157.25387369    310.97181982      3.98699280   8030.34923499
 32161.92028188    310.92670058      3.98757136   7952.15908839
 32166.58669007    310.88159443      3.98814992   7871.57112987
 32171.25309826    310.83650136      3.98872848   7788.77247229
 32175.91950644    310.79142138      3.98930704   7703.95137346
 32180.58591463    310.74635447      3.98988560   7617.29660599
 32185.25232282    310.70130062      3.99046416   7528.99683084
 32189.91873101    310.65625984      3.99104272   7439.23997705
 32194.58513920    310.61123212      3.99162128   7348.21263009
 32199.25154739    310.56621744      3.99219985   7256.09943110
 32203.91795557    310.52121582      3.99277841   7163.08248967
 32208.58436376    310.47622723      3.99335697   7069.34081243
 32213.25077195    310.43125167      3.99393553   6975.04975012
 32217.91718014    310.38628915      3.99451409   6880.38046529
 32222.58358833    310.34133964      3.99509265   6785.49942334
 32227.24999652    310.29640316      3.99567121   6690.56790886
 32231.91640470    310.25147968      3.99624977   6595.74156982
 32236.58281289    310.20656921      3.99682833   6501.16999141
 32241.24922108    310.16167175      3.99740690   6406.99630179
 32245.91562927    310.11678727      3.99798546   6313.35681139
 32250.58203746    310.07191579      3.99856402   6220.38068743
 32255.24844565    310.02705728      3.99914258   6128.18966514
 32259.91485383    309.98221176      3.99972114   6036.89779704
 32264.58126202    309.93737921      4.00029970   5946.61124096
 32269.24767021    309.89255962      4.00087826   5857.42808799
 32273.91407840    309.84775300      4.00145682   5769.43823054
 32278.58048659    309.80295933      4.00203538   5682.72327093
 32283.24689478    309.75817861      4.00261395   5597.35647047
 32287.91330296    309.71341083      4.00319251   5513.40273875
 32292.57971115    309.66865599      4.00377107   5430.91866252
 32297.24611934    309.62391408      4.00434963   5349.95257352
 32301.91252753    309.57918510      4.00492819   5270.54465391
 32306.57893572    309.53446905      4.00550675   5192.72707829
 32311.24534391    309.48976591      4.00608531   5116.52419049
 32315.91175209    309.44507567      4.00666387   5041.95271351
 32320.57816028    309.40039835      4.00724243   4969.02199054
 32325.24456847    309.35573392      4.00782099   4897.73425495
 32329.91097666    309.31108238      4.00839956   4828.08492691
 32334.57738485    309.26644374      4.00897812   4760.06293412
 32339.24379304    309.22181797      4.00955668   4693.65105423
 32343.91020122    309.17720509      4.01013524   4628.82627603
 32348.57660941    309.13260507      4.01071380   4565.56017702
 32353.24301760    309.08801792      4.01129236   4503.81931429
 32357.90942579    309.04344363      4.01187092   4443.56562615
 32362.57583398    308.99888219      4.01244948   4384.75684171
 32367.24224217    308.95433361      4.01302804   4327.34689564
 32371.90865035    308.90979786      4.01360661   4271.28634564
 32376.57505854    308.86527496      4.01418517   4216.52278978
 32381.24146673    308.82076488      4.01476373   4163.00128164
 32385.90787492    308.77626763      4.01534229   4110.66474057
 32390.57428311    308.73178321      4.01592085   4059.45435511
 32395.24069130    308.68731160      4.01649941   4009.30997747
 32399.90709948    308.64285280      4.01707797   3960.17050718
 32404.57350767    308.59840680      4.01765653   3911.97426226
 32409.23991586    308.55397361      4.01823509   3864.65933632
 32413.90632405    308.50955320      4.01881366   3818.16394037
 32418.57273224    308.46514559      4.01939222   3772.42672800
 32423.23914042    308.42075075      4.01997078   3727.38710318
 32427.90554861    308.37636870      4.02054934   3682.98550962
 32432.57195680    308.33199941      4.02112790   3639.16370133
 32437.23836499    308.28764290      4.02170646   3595.86499366
 32441.90477318    308.24329914      4.02228502   3553.03449471
 32446.57118137    308.19896813      4.02286358   3510.61931678
 32451.23758955    308.15464988      4.02344214   3468.56876804
 32455.90399774    308.11034437      4.02402071   3426.83452424
 32460.57040593    308.06605160      4.02459927   3385.37078090
 32465.23681412    308.02177156      4.02517783   3344.13438619
 32469.90322231    307.97750425      4.02575639   3303.08495489
 32474.56963050    307.93324966      4.02633495   3262.18496389
 32479.23603868    307.88900779      4.02691351   3221.39982981
 32483.90244687    307.84477862      4.02749207   3180.69796929
 32488.56885506    307.80056217      4.02807063   3140.05084250
 32493.23526325    307.75635841      4.02864919   3099.43298072
 32497.90167144    307.71216735      4.02922776   3058.82199840
 32502.56807963    307.66798898      4.02980632   3018.19859064
 32507.23448781    307.62382329      4.03038488   2977.54651664
 32511.90089600    307.57967027      4.03096344   2936.85256983
 32516.56730419    307.53552994      4.03154200   2896.10653548
 32521.23371238    307.49140226      4.03212056   2855.30113632
 32525.90012057    307.44728725      4.03269912   2814.43196708
 32530.56652876    307.40318490      4.03327768   2773.49741836
 32535.23293694    307.35909520      4.03385624   2732.49859073
 32539.89934513    307.31501814      4.03443481   2691.43919965
 32544.56575332    307.27095372      4.03501337   2650.32547169
 32549.23216151    307.22690194      4.03559193   2609.16603305
 32553.89856970    307.18286279      4.03617049   2567.97179065
 32558.56497789    307.13883626      4.03674905   2526.75580666
 32563.23138607    307.09482235      4.03732761   2485.53316703
 32567.89779426    307.05082105      4.03790617   2444.32084461
 32572.56420245    307.00683236      4.03848473   2403.13755764
 32577.23061064    306.96285627      4.03906329   2362.00362407
 32581.89701883    306.91889278      4.03964185   2320.94081252
 32586.56342702    306.87494188      4.04022042   2279.97219039
 32591.22983520    306.83100356      4.04079898   2239.12196998
 32595.89624339    306.78707782      4.04137754   2198.41535307
 32600.56265158    306.74316466      4.04195610   2157.87837479
 32605.22905977    306.69926407      4.04253466   2117.53774746
 32609.89546796    306.65537605      4.04311322   2077.42070502
 32614.56187615    306.61150058      4.04369178   2037.55484876
 32619.22828433    306.56763767      4.04427034   1997.96799509
 32623.89469252    306.52378730      4.04484890   1958.68802604
 32628.56110071    306.47994947      4.04542747   1919.74274304
 32633.22750890    306.43612419      4.04600603   1881.15972485
 32637.89391709    306.39231143      4.04658459   1842.96619013
 32642.56032528    306.34851121      4.04716315   1805.18886530
 32647.22673346    306.30472350      4.04774171   1767.85385840
 32651.89314165    306.26094831      4.04832027   1730.98653936
 32656.55954984    306.21718563      4.04889883   1694.61142738
 32661.22595803    306.17343545      4.04947739   1658.75208572
 32665.89236622    306.12969777      4.05005595   1623.43102458
 32670.55877441    306.08597259      4.05063452   1588.66961222
 32675.22518259    306.04225990      4.05121308   1554.48799491
 32679.89159078    305.99855969      4.05179164   1520.90502577
 32684.55799897    305.95487196      4.05237020   1487.93820294
 32689.22440716    305.91119670      4.05294876   1455.60361705
 32693.89081535    305.86753391      4.05352732   1423.91590833
 32698.55722354    305.82388358      4.05410588   1392.88823317
 32703.22363172    305.78024571      4.05468444   1362.53224026
 32707.89003991    305.73662029      4.05526300   1332.85805624
 32712.55644810    305.69300732      4.05584157   1303.87428060
 32717.22285629    305.64940678      4.05642013   1275.58798980
 32721.88926448    305.60581868      4.05699869   1248.00475020
 32726.55567267    305.56224302      4.05757725   1221.12863959
 32731.22208085    305.51867978      4.05815581   1194.96227690
 32735.88848904    305.47512895      4.05873437   1169.50685981
 32740.55489723    305.43159054      4.05931293   1144.76220959
 32745.22130542    305.38806455      4.05989149   1120.72682289
 32749.88771361    305.34455095      4.06047005   1097.39792994
 32754.55412180    305.30104975      4.06104862   1074.77155840
 32759.22052998    305.25756095      4.06162718   1052.84260265
 32763.88693817    305.21408453      4.06220574   1031.60489754
 32768.55334636    305.17062050      4.06278430   1011.05129637
 32773.21975455    305.12716884      4.06336286    991.17375213
 32777.88616274    305.08372956      4.06394142    971.96340172
 32782.55257093    305.04030264      4.06451998    953.41065227
 32787.21897911    304.99688808      4.06509854    935.50526910
 32791.88538730    304.95348588      4.06567710    918.23646467
 32796.55179549    304.91009604      4.06625566    901.59298789
 32801.21820368    304.86671853      4.06683423    885.56321332
 32805.88461187    304.82335337      4.06741279    870.13522955
 32810.55102006    304.78000054      4.06799135    855.29692639
 32815.21742824    304.73666004      4.06856991    841.03608023
 32819.88383643    304.69333187      4.06914847    827.34043708
 32824.55024462    304.65001601      4.06972703    814.19779295
 32829.21665281    304.60671247      4.07030559    801.59607099
 32833.88306100    304.56342124      4.07088415    789.52339509
 32838.54946919    304.52014231      4.07146271    777.96815948
 32843.21587737    304.47687568      4.07204128    766.91909409
 32847.88228556    304.43362134      4.07261984    756.36532521
 32852.54869375    304.39037929      4.07319840    746.29643143
 32857.21510194    304.34714952      4.07377696    736.70249422
 32861.88151013    304.30393203      4.07435552    727.57414341
 32866.54791832    304.26072682      4.07493408    718.90259699
 32871.21432650    304.21753387      4.07551264    710.67969533
 32875.88073469    304.17435318      4.07609120    702.89792966
 32880.54714288    304.13118474      4.07666976    695.55046466
 32885.21355107    304.08802856      4.07724833    688.63115524
 32889.87995926    304.04488463      4.07782689    682.13455750
 32894.54636744    304.00175293      4.07840545    676.05593377
 32899.21277563    303.95863347      4.07898401    670.39125198
 32903.87918382    303.91552624      4.07956257    665.13717944
 32908.54559201    303.87243124      4.08014113    660.29107102
 32913.21200020    303.82934846      4.08071969    655.85095219
 32917.87840839    303.78627789      4.08129825    651.81549683
 32922.54481657    303.74321953      4.08187681    648.18400035
 32927.21122476    303.70017337      4.08245538    644.95634826
 32931.87763295    303.65713941      4.08303394    642.13298047
 32936.54404114    303.61411765      4.08361250    639.71485190
 32941.21044933    303.57110808      4.08419106    637.70338951
 32945.87685752    303.52811069      4.08476962    636.10044640
 32950.54326570    303.48512548      4.08534818    634.90825334
 32955.20967389    303.44215244      4.08592674    634.12936811
 32959.87608208    303.39919157      4.08650530    633.76662339
 32964.54249027    303.35624286      4.08708386    633.82307348
 32969.20889846    303.31330632      4.08766243    634.30194041
 32973.87530665    303.27038192      4.08824099    635.20656018
 32978.54171483    303.22746967      4.08881955    636.54032942
 32983.20812302    303.18456956      4.08939811    638.30665314
 32987.87453121    303.14168159      4.08997667    640.50889415
 32992.54093940    303.09880576      4.09055523    643.15032456
 32997.20734759    303.05594205      4.09113379    646.23408000
 33001.87375578    303.01309046      4.09171235    649.76311699
 33006.54016396    302.97025098      4.09229091    653.74017390
 33011.20657215    302.92742362      4.09286948    658.16773604
 33015.87298034    302.88460837      4.09344804    663.04800517
 33020.53938853    302.84180521      4.09402660    668.38287382
 33025.20579672    302.79901416      4.09460516    674.17390477
 33029.87220491    302.75623519      4.09518372    680.42231586
 33034.53861309    302.71346831      4.09576228    687.12897037
 33039.20502128    302.67071351      4.09634084    694.29437310
 33043.87142947    302.62797079      4.09691940    701.91867217
 33048.53783766    302.58524013      4.09749796    710.00166660
 33053.20424585    302.54252154      4.09807652    718.54281950
 33057.87065404    302.49981501      4.09865509    727.54127683
 33062.53706222    302.45712054      4.09923365    736.99589138
 33067.20347041    302.41443812      4.09981221    746.90525184
 33071.86987860    302.37176774      4.10039077    757.26771638
 33076.53628679    302.32910940      4.10096933    768.08145052
 33081.20269498    302.28646309      4.10154789    779.34446866
 33085.86910317    302.24382882      4.10212645    791.05467872
 33090.53551135    302.20120657      4.10270501    803.20992937
 33095.20191954    302.15859634      4.10328357    815.80805911
 33099.86832773    302.11599812      4.10386214    828.84694642
 33104.53473592    302.07341192      4.10444070    842.32456044
 33109.20114411    302.03083771      4.10501926    856.23901127
 33113.86755230    301.98827551      4.10559782    870.58859911
 33118.53396048    301.94572530      4.10617638    885.37186150
 33123.20036867    301.90318708      4.10675494    900.58761784
 33127.86677686    301.86066084      4.10733350    916.23501041
 33132.53318505    301.81814659      4.10791206    932.31354120
 33137.19959324    301.77564430      4.10849062    948.82310361
 33141.86600143    301.73315399      4.10906919    965.76400868
 33146.53240961    301.69067563      4.10964775    983.13700485
 33151.19881780    301.64820924      4.11022631   1000.94329091
 33155.86522599    301.60575480      4.11080487   1019.18452155
 33160.53163418    301.56331231      4.11138343   1037.86280510
 33165.19804237    301.52088176      4.11196199   1056.98069299
 33169.86445056    301.47846315      4.11254055   1076.54116091
 33174.53085874    301.43605648      4.11311911   1096.54758122
 33179.19726693    301.39366173      4.11369767   1117.00368670
 33183.86367512    301.35127891      4.11427624   1137.91352569
 33188.53008331    301.30890800      4.11485480   1159.28140857
 33193.19649150    301.26654901      4.11543336   1181.11184602
 33197.86289969    301.22420193      4.11601192   1203.40947920
 33202.52930787    301.18186674      4.11659048   1226.17900247
 33207.19571606    301.13954346      4.11716904   1249.42507895
 33211.86212425    301.09723207      4.11774760   1273.15224970
 33216.52853244    301.05493257      4.11832616   1297.36483720
 33221.19494063    301.01264495      4.11890472   1322.06684372
 33225.86134882    300.97036921      4.11948329   1347.26184577
