Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Molar Extinction Coefficients(M^-1 cm^-1)
 28974.76348926    345.12791662      3.59241413  11131.51127121
 28979.42989745    345.07234245      3.59299269  11473.87972502
 28984.09630564    345.01678618      3.59357126  11812.74736989
 28988.76271382    344.96124779      3.59414982  12147.19908721
 28993.42912201    344.90572728      3.59472838  12476.31004930
 28998.09553020    344.85022464      3.59530694  12799.14998124
 29002.76193839    344.79473985      3.59588550  13114.78757956
 29007.42834658    344.73927292      3.59646406  13422.29506048
 29012.09475477    344.68382384      3.59704262  13720.75280851
 29016.76116295    344.62839258      3.59762118  14009.25409468
 29021.42757114    344.57297916      3.59819974  14286.90983221
 29026.09397933    344.51758355      3.59877830  14552.85333659
 29030.76038752    344.46220575      3.59935687  14806.24505600
 29035.42679571    344.40684575      3.59993543  15046.27723779
 29040.09320390    344.35150354      3.60051399  15272.17849637
 29044.75961208    344.29617911      3.60109255  15483.21824827
 29049.42602027    344.24087246      3.60167111  15678.71098025
 29054.09242846    344.18558357      3.60224967  15858.02031776
 29058.75883665    344.13031244      3.60282823  16020.56286146
 29063.42524484    344.07505906      3.60340679  16165.81176165
 29068.09165303    344.01982342      3.60398535  16293.30000176
 29072.75806121    343.96460551      3.60456392  16402.62336435
 29077.42446940    343.90940532      3.60514248  16493.44305523
 29082.09087759    343.85422285      3.60572104  16565.48796400
 29086.75728578    343.79905808      3.60629960  16618.55654198
 29091.42369397    343.74391102      3.60687816  16652.51828157
 29096.09010215    343.68878164      3.60745672  16667.31478415
 29100.75651034    343.63366994      3.60803528  16662.96040689
 29105.42291853    343.57857591      3.60861384  16639.54248221
 29110.08932672    343.52349955      3.60919240  16597.22110708
 29114.75573491    343.46844084      3.60977097  16536.22850272
 29119.42214310    343.41339977      3.61034953  16456.86794879
 29124.08855128    343.35837635      3.61092809  16359.51229928
 29128.75495947    343.30337055      3.61150665  16244.60209108
 29133.42136766    343.24838238      3.61208521  16112.64325883
 29138.08777585    343.19341182      3.61266377  15964.20447310
 29142.75418404    343.13845886      3.61324233  15799.91412162
 29147.42059223    343.08352350      3.61382089  15620.45695594
 29152.08700041    343.02860572      3.61439945  15426.57042832
 29156.75340860    342.97370552      3.61497802  15219.04074587
 29161.41981679    342.91882290      3.61555658  14998.69867072
 29166.08622498    342.86395783      3.61613514  14766.41509686
 29170.75263317    342.80911032      3.61671370  14523.09643518
 29175.41904136    342.75428036      3.61729226  14269.67983978
 29180.08544954    342.69946793      3.61787082  14007.12830886
 29184.75185773    342.64467302      3.61844938  13736.42569410
 29189.41826592    342.58989564      3.61902794  13458.57165262
 29194.08467411    342.53513577      3.61960650  13174.57657511
 29198.75108230    342.48039340      3.62018507  12885.45652361
 29203.41749049    342.42566853      3.62076363  12592.22821123
 29208.08389867    342.37096114      3.62134219  12295.90405549
 29212.75030686    342.31627124      3.62192075  11997.48733529
 29217.41671505    342.26159880      3.62249931  11697.96748052
 29222.08312324    342.20694382      3.62307787  11398.31552102
 29226.74953143    342.15230629      3.62365643  11099.47972036
 29231.41593962    342.09768621      3.62423499  10802.38141761
 29236.08234780    342.04308356      3.62481355  10507.91109799
 29240.74875599    341.98849835      3.62539211  10216.92471156
 29245.41516418    341.93393055      3.62597068   9930.24025628
 29250.08157237    341.87938016      3.62654924   9648.63463985
 29254.74798056    341.82484717      3.62712780   9372.84083218
 29259.41438875    341.77033158      3.62770636   9103.54531807
 29264.08079693    341.71583338      3.62828492   8841.38585723
 29268.74720512    341.66135255      3.62886348   8586.94955679
 29273.41361331    341.60688909      3.62944204   8340.77125886
 29278.08002150    341.55244300      3.63002060   8103.33224381
 29282.74642969    341.49801425      3.63059916   7875.05924790
 29287.41283788    341.44360285      3.63117773   7656.32379182
 29292.07924606    341.38920879      3.63175629   7447.44181503
 29296.74565425    341.33483205      3.63233485   7248.67360904
 29301.41206244    341.28047264      3.63291341   7060.22404123
 29306.07847063    341.22613053      3.63349197   6882.24305943
 29310.74487882    341.17180573      3.63407053   6714.82646614
 29315.41128701    341.11749822      3.63464909   6558.01695026
 29320.07769519    341.06320800      3.63522765   6411.80536301
 29324.74410338    341.00893506      3.63580621   6276.13222413
 29329.41051157    340.95467939      3.63638478   6150.88944344
 29334.07691976    340.90044098      3.63696334   6035.92224248
 29338.74332795    340.84621982      3.63754190   5931.03126025
 29343.40973614    340.79201591      3.63812046   5835.97482697
 29348.07614432    340.73782923      3.63869902   5750.47138923
 29352.74255251    340.68365979      3.63927758   5674.20206988
 29357.40896070    340.62950756      3.63985614   5606.81334607
 29362.07536889    340.57537255      3.64043470   5547.91982845
 29366.74177708    340.52125474      3.64101326   5497.10712517
 29371.40818527    340.46715413      3.64159183   5453.93477395
 29376.07459345    340.41307070      3.64217039   5417.93922610
 29380.74100164    340.35900446      3.64274895   5388.63686632
 29385.40740983    340.30495539      3.64332751   5365.52705273
 29390.07381802    340.25092348      3.64390607   5348.09516160
 29394.74022621    340.19690872      3.64448463   5335.81562203
 29399.40663440    340.14291111      3.64506319   5328.15492592
 29404.07304258    340.08893064      3.64564175   5324.57459919
 29408.73945077    340.03496730      3.64622031   5324.53412084
 29413.40585896    339.98102109      3.64679888   5327.49377672
 29418.07226715    339.92709199      3.64737744   5332.91743563
 29422.73867534    339.87317999      3.64795600   5340.27523587
 29427.40508353    339.81928509      3.64853456   5349.04617113
 29432.07149171    339.76540728      3.64911312   5358.72056496
 29436.73789990    339.71154656      3.64969168   5368.80242418
 29441.40430809    339.65770291      3.65027024   5378.81166185
 29446.07071628    339.60387632      3.65084880   5388.28618154
 29450.73712447    339.55006679      3.65142736   5396.78381513
 29455.40353266    339.49627431      3.65200593   5403.88410742
 29460.06994084    339.44249887      3.65258449   5409.18994135
 29464.73634903    339.38874046      3.65316305   5412.32899896
 29469.40275722    339.33499908      3.65374161   5412.95505345
 29474.06916541    339.28127472      3.65432017   5410.74908931
 29478.73557360    339.22756736      3.65489873   5405.42024787
 29483.40198179    339.17387701      3.65547729   5396.70659677
 29488.06838997    339.12020365      3.65605585   5384.37572298
 29492.73479816    339.06654727      3.65663441   5368.22514949
 29497.40120635    339.01290787      3.65721297   5348.08257726
 29502.06761454    338.95928544      3.65779154   5323.80595469
 29506.73402273    338.90567997      3.65837010   5295.28337774
 29511.40043092    338.85209145      3.65894866   5262.43282511
 29516.06683910    338.79851987      3.65952722   5225.20173338
 29520.73324729    338.74496524      3.66010578   5183.56641812
 29525.39965548    338.69142753      3.66068434   5137.53134779
 29530.06606367    338.63790674      3.66126290   5087.12827800
 29534.73247186    338.58440286      3.66184146   5032.41525434
 29539.39888005    338.53091589      3.66242002   4973.47549292
 29544.06528823    338.47744581      3.66299859   4910.41614800
 29548.73169642    338.42399262      3.66357715   4843.36697712
 29553.39810461    338.37055631      3.66415571   4772.47891400
 29558.06451280    338.31713688      3.66473427   4697.92256046
 29562.73092099    338.26373430      3.66531283   4619.88660850
 29567.39732917    338.21034859      3.66589139   4538.57620409
 29572.06373736    338.15697972      3.66646995   4454.21126424
 29576.73014555    338.10362770      3.66704851   4367.02475918
 29581.39655374    338.05029250      3.66762707   4277.26097111
 29586.06296193    337.99697413      3.66820564   4185.17374107
