Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 20920.01550298    478.01111804      2.59375262      0.00242338
 20925.23264625    477.89193884      2.59439946      0.00245538
 20930.44978952    477.77281905      2.59504631      0.00248827
 20935.66693279    477.65375864      2.59569315      0.00252207
 20940.88407606    477.53475754      2.59633999      0.00255678
 20946.10121933    477.41581573      2.59698684      0.00259240
 20951.31836261    477.29693315      2.59763368      0.00262893
 20956.53550588    477.17810977      2.59828053      0.00266639
 20961.75264915    477.05934553      2.59892737      0.00270476
 20966.96979242    476.94064040      2.59957421      0.00274406
 20972.18693569    476.82199432      2.60022106      0.00278429
 20977.40407897    476.70340726      2.60086790      0.00282544
 20982.62122224    476.58487918      2.60151474      0.00286752
 20987.83836551    476.46641002      2.60216159      0.00291052
 20993.05550878    476.34799974      2.60280843      0.00295445
 20998.27265205    476.22964830      2.60345527      0.00299930
 21003.48979533    476.11135566      2.60410212      0.00304507
 21008.70693860    475.99312177      2.60474896      0.00309176
 21013.92408187    475.87494658      2.60539581      0.00313936
 21019.14122514    475.75683007      2.60604265      0.00318787
 21024.35836841    475.63877217      2.60668949      0.00323728
 21029.57551169    475.52077285      2.60733634      0.00328759
 21034.79265496    475.40283206      2.60798318      0.00333880
 21040.00979823    475.28494976      2.60863002      0.00339089
 21045.22694150    475.16712591      2.60927687      0.00344387
 21050.44408477    475.04936047      2.60992371      0.00349772
 21055.66122804    474.93165338      2.61057055      0.00355243
 21060.87837132    474.81400461      2.61121740      0.00360800
 21066.09551459    474.69641411      2.61186424      0.00366442
 21071.31265786    474.57888184      2.61251109      0.00372169
 21076.52980113    474.46140775      2.61315793      0.00377978
 21081.74694440    474.34399181      2.61380477      0.00383869
 21086.96408768    474.22663397      2.61445162      0.00389842
 21092.18123095    474.10933419      2.61509846      0.00395895
 21097.39837422    473.99209242      2.61574530      0.00402027
 21102.61551749    473.87490862      2.61639215      0.00408237
 21107.83266076    473.75778275      2.61703899      0.00414523
 21113.04980404    473.64071476      2.61768583      0.00420886
 21118.26694731    473.52370462      2.61833268      0.00427323
 21123.48409058    473.40675227      2.61897952      0.00433834
 21128.70123385    473.28985768      2.61962637      0.00440417
 21133.91837712    473.17302081      2.62027321      0.00447071
 21139.13552040    473.05624160      2.62092005      0.00453795
 21144.35266367    472.93952003      2.62156690      0.00460588
 21149.56980694    472.82285603      2.62221374      0.00467448
 21154.78695021    472.70624958      2.62286058      0.00474375
 21160.00409348    472.58970064      2.62350743      0.00481368
 21165.22123676    472.47320915      2.62415427      0.00488424
 21170.43838003    472.35677507      2.62480111      0.00495544
 21175.65552330    472.24039837      2.62544796      0.00502726
 21180.87266657    472.12407899      2.62609480      0.00509969
 21186.08980984    472.00781691      2.62674165      0.00517271
 21191.30695311    471.89161207      2.62738849      0.00524633
 21196.52409639    471.77546444      2.62803533      0.00532052
 21201.74123966    471.65937396      2.62868218      0.00539528
 21206.95838293    471.54334061      2.62932902      0.00547060
 21212.17552620    471.42736433      2.62997586      0.00554646
 21217.39266947    471.31144509      2.63062271      0.00562286
 21222.60981275    471.19558284      2.63126955      0.00569978
 21227.82695602    471.07977754      2.63191639      0.00577722
 21233.04409929    470.96402914      2.63256324      0.00585516
 21238.26124256    470.84833762      2.63321008      0.00593359
 21243.47838583    470.73270292      2.63385693      0.00601250
 21248.69552911    470.61712500      2.63450377      0.00609189
 21253.91267238    470.50160383      2.63515061      0.00617172
 21259.12981565    470.38613935      2.63579746      0.00625200
 21264.34695892    470.27073154      2.63644430      0.00633271
 21269.56410219    470.15538033      2.63709114      0.00641384
 21274.78124547    470.04008571      2.63773799      0.00649536
 21279.99838874    469.92484761      2.63838483      0.00657726
 21285.21553201    469.80966601      2.63903167      0.00665952
 21290.43267528    469.69454085      2.63967852      0.00674213
 21295.64981855    469.57947211      2.64032536      0.00682506
 21300.86696182    469.46445973      2.64097221      0.00690829
 21306.08410510    469.34950368      2.64161905      0.00699180
 21311.30124837    469.23460391      2.64226589      0.00707557
 21316.51839164    469.11976038      2.64291274      0.00715956
 21321.73553491    469.00497305      2.64355958      0.00724375
 21326.95267818    468.89024189      2.64420642      0.00732811
 21332.16982146    468.77556684      2.64485327      0.00741261
 21337.38696473    468.66094787      2.64550011      0.00749722
 21342.60410800    468.54638494      2.64614695      0.00758190
 21347.82125127    468.43187800      2.64679380      0.00766661
 21353.03839454    468.31742702      2.64744064      0.00775133
 21358.25553782    468.20303195      2.64808749      0.00783600
 21363.47268109    468.08869276      2.64873433      0.00792059
 21368.68982436    467.97440939      2.64938117      0.00800506
 21373.90696763    467.86018182      2.65002802      0.00808935
 21379.12411090    467.74600999      2.65067486      0.00817343
 21384.34125418    467.63189388      2.65132170      0.00825725
