Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 20056.22058053    498.59841327      2.48665534      0.00183793
 20066.22558303    498.34981253      2.48789580      0.00184286
 20076.23058553    498.10145958      2.48913626      0.00184730
 20086.23558803    497.85335404      2.49037672      0.00185127
 20096.24059054    497.60549554      2.49161719      0.00185480
 20106.24559304    497.35788371      2.49285765      0.00185789
 20116.25059554    497.11051819      2.49409811      0.00186057
 20126.25559804    496.86339860      2.49533858      0.00186286
 20136.26060054    496.61652459      2.49657904      0.00186478
 20146.26560304    496.36989577      2.49781950      0.00186637
 20156.27060554    496.12351180      2.49905996      0.00186764
 20166.27560804    495.87737230      2.50030043      0.00186863
 20176.28061055    495.63147691      2.50154089      0.00186936
 20186.28561305    495.38582527      2.50278135      0.00186988
 20196.29061555    495.14041702      2.50402181      0.00187020
 20206.29561805    494.89525179      2.50526228      0.00187036
 20216.30062055    494.65032922      2.50650274      0.00187041
 20226.30562305    494.40564896      2.50774320      0.00187037
 20236.31062555    494.16121064      2.50898366      0.00187030
 20246.31562805    493.91701390      2.51022413      0.00187021
 20256.32063056    493.67305840      2.51146459      0.00187017
 20266.32563306    493.42934376      2.51270505      0.00187020
 20276.33063556    493.18586964      2.51394552      0.00187036
 20286.33563806    492.94263567      2.51518598      0.00187069
 20296.34064056    492.69964151      2.51642644      0.00187123
 20306.34564306    492.45688680      2.51766690      0.00187203
 20316.35064556    492.21437118      2.51890737      0.00187315
 20326.35564806    491.97209430      2.52014783      0.00187462
 20336.36065057    491.73005581      2.52138829      0.00187650
 20346.36565307    491.48825535      2.52262875      0.00187884
 20356.37065557    491.24669259      2.52386922      0.00188170
 20366.37565807    491.00536715      2.52510968      0.00188511
 20376.38066057    490.76427871      2.52635014      0.00188915
 20386.38566307    490.52342690      2.52759060      0.00189385
 20396.39066557    490.28281138      2.52883107      0.00189928
 20406.39566807    490.04243181      2.53007153      0.00190549
 20416.40067058    489.80228782      2.53131199      0.00191254
 20426.40567308    489.56237909      2.53255246      0.00192048
 20436.41067558    489.32270526      2.53379292      0.00192937
 20446.41567808    489.08326599      2.53503338      0.00193926
 20456.42068058    488.84406093      2.53627384      0.00195021
 20466.42568308    488.60508974      2.53751431      0.00196227
 20476.43068558    488.36635208      2.53875477      0.00197552
 20486.43568808    488.12784761      2.53999523      0.00198999
 20496.44069059    487.88957598      2.54123569      0.00200574
 20506.44569309    487.65153685      2.54247616      0.00202285
 20516.45069559    487.41372989      2.54371662      0.00204134
 20526.45569809    487.17615475      2.54495708      0.00206130
 20536.46070059    486.93881109      2.54619754      0.00208276
 20546.46570309    486.70169858      2.54743801      0.00210578
 20556.47070559    486.46481688      2.54867847      0.00213043
 20566.47570809    486.22816566      2.54991893      0.00215674
 20576.48071060    485.99174457      2.55115940      0.00218477
 20586.48571310    485.75555328      2.55239986      0.00221458
 20596.49071560    485.51959145      2.55364032      0.00224621
 20606.49571810    485.28385876      2.55488078      0.00227972
 20616.50072060    485.04835486      2.55612125      0.00231515
 20626.50572310    484.81307943      2.55736171      0.00235254
 20636.51072560    484.57803214      2.55860217      0.00239194
 20646.51572810    484.34321264      2.55984263      0.00243340
 20656.52073061    484.10862061      2.56108310      0.00247696
 20666.52573311    483.87425573      2.56232356      0.00252266
 20676.53073561    483.64011765      2.56356402      0.00257053
 20686.53573811    483.40620606      2.56480448      0.00262061
 20696.54074061    483.17252061      2.56604495      0.00267294
 20706.54574311    482.93906099      2.56728541      0.00272755
 20716.55074561    482.70582687      2.56852587      0.00278447
 20726.55574811    482.47281792      2.56976634      0.00284372
 20736.56075062    482.24003382      2.57100680      0.00290533
 20746.56575312    482.00747423      2.57224726      0.00296932
 20756.57075562    481.77513884      2.57348772      0.00303571
 20766.57575812    481.54302732      2.57472819      0.00310452
 20776.58076062    481.31113934      2.57596865      0.00317576
 20786.58576312    481.07947460      2.57720911      0.00324944
 20796.59076562    480.84803275      2.57844957      0.00332557
 20806.59576812    480.61681349      2.57969004      0.00340415
 20816.60077063    480.38581648      2.58093050      0.00348518
 20826.60577313    480.15504142      2.58217096      0.00356866
 20836.61077563    479.92448797      2.58341142      0.00365458
 20846.61577813    479.69415583      2.58465189      0.00374293
 20856.62078063    479.46404467      2.58589235      0.00383370
 20866.62578313    479.23415417      2.58713281      0.00392686
 20876.63078563    479.00448402      2.58837328      0.00402240
 20886.63578813    478.77503390      2.58961374      0.00412029
 20896.64079064    478.54580350      2.59085420      0.00422050
 20906.64579314    478.31679249      2.59209466      0.00432299
 20916.65079564    478.08800057      2.59333513      0.00442772
 20926.65579814    477.85942742      2.59457559      0.00453465
 20936.66080064    477.63107273      2.59581605      0.00464373
 20946.66580314    477.40293618      2.59705651      0.00475491
 20956.67080564    477.17501746      2.59829698      0.00486813
 20966.67580814    476.94731626      2.59953744      0.00498333
 20976.68081065    476.71983227      2.60077790      0.00510044
 20986.68581315    476.49256517      2.60201836      0.00521939
 20996.69081565    476.26551467      2.60325883      0.00534010
 21006.69581815    476.03868044      2.60449929      0.00546250
 21016.70082065    475.81206217      2.60573975      0.00558650
 21026.70582315    475.58565957      2.60698022      0.00571200
 21036.71082565    475.35947233      2.60822068      0.00583892
 21046.71582815    475.13350013      2.60946114      0.00596716
 21056.72083066    474.90774266      2.61070160      0.00609661
 21066.72583316    474.68219963      2.61194207      0.00622717
 21076.73083566    474.45687073      2.61318253      0.00635872
 21086.73583816    474.23175566      2.61442299      0.00649115
 21096.74084066    474.00685410      2.61566345      0.00662434
 21106.74584316    473.78216575      2.61690392      0.00675816
 21116.75084566    473.55769032      2.61814438      0.00689250
 21126.75584816    473.33342750      2.61938484      0.00702721
 21136.76085067    473.10937699      2.62062530      0.00716216
 21146.76585317    472.88553848      2.62186577      0.00729722
 21156.77085567    472.66191168      2.62310623      0.00743225
 21166.77585817    472.43849628      2.62434669      0.00756710
 21176.78086067    472.21529199      2.62558716      0.00770163
 21186.78586317    471.99229851      2.62682762      0.00783570
 21196.79086567    471.76951553      2.62806808      0.00796914
 21206.79586817    471.54694277      2.62930854      0.00810182
 21216.80087068    471.32457992      2.63054901      0.00823358
 21226.80587318    471.10242668      2.63178947      0.00836426
 21236.81087568    470.88048277      2.63302993      0.00849372
 21246.81587818    470.65874788      2.63427039      0.00862180
 21256.82088068    470.43722171      2.63551086      0.00874835
 21266.82588318    470.21590399      2.63675132      0.00887321
 21276.83088568    469.99479440      2.63799178      0.00899623
 21286.83588818    469.77389266      2.63923224      0.00911726
 21296.84089069    469.55319847      2.64047271      0.00923615
 21306.84589319    469.33271155      2.64171317      0.00935276
 21316.85089569    469.11243159      2.64295363      0.00946693
 21326.85589819    468.89235832      2.64419410      0.00957853
 21336.86090069    468.67249143      2.64543456      0.00968742
 21346.86590319    468.45283064      2.64667502      0.00979346
 21356.87090569    468.23337565      2.64791548      0.00989652
 21366.87590819    468.01412619      2.64915595      0.00999648
 21376.88091070    467.79508196      2.65039641      0.01009321
 21386.88591320    467.57624266      2.65163687      0.01018660
 21396.89091570    467.35760803      2.65287733      0.01027653
 21406.89591820    467.13917776      2.65411780      0.01036292
 21416.90092070    466.92095157      2.65535826      0.01044564
 21426.90592320    466.70292918      2.65659872      0.01052463
 21436.91092570    466.48511030      2.65783918      0.01059978
 21446.91592820    466.26749464      2.65907965      0.01067104
 21456.92093071    466.05008192      2.66032011      0.01073833
 21466.92593321    465.83287187      2.66156057      0.01080158
 21476.93093571    465.61586418      2.66280104      0.01086076
 21486.93593821    465.39905859      2.66404150      0.01091582
 21496.94094071    465.18245480      2.66528196      0.01096673
 21506.94594321    464.96605255      2.66652242      0.01101347
 21516.95094571    464.74985154      2.66776289      0.01105603
 21526.95594821    464.53385149      2.66900335      0.01109439
 21536.96095072    464.31805214      2.67024381      0.01112858
 21546.96595322    464.10245319      2.67148427      0.01115861
 21556.97095572    463.88705436      2.67272474      0.01118451
 21566.97595822    463.67185538      2.67396520      0.01120632
 21576.98096072    463.45685598      2.67520566      0.01122409
 21586.98596322    463.24205587      2.67644612      0.01123788
 21596.99096572    463.02745477      2.67768659      0.01124777
 21606.99596822    462.81305242      2.67892705      0.01125383
 21617.00097073    462.59884852      2.68016751      0.01125618
 21627.00597323    462.38484282      2.68140798      0.01125490
 21637.01097573    462.17103503      2.68264844      0.01125013
 21647.01597823    461.95742488      2.68388890      0.01124198
 21657.02098073    461.74401209      2.68512936      0.01123059
 21667.02598323    461.53079640      2.68636983      0.01121613
 21677.03098573    461.31777752      2.68761029      0.01119873
 21687.03598823    461.10495519      2.68885075      0.01117859
 21697.04099074    460.89232914      2.69009121      0.01115587
 21707.04599324    460.67989908      2.69133168      0.01113078
 21717.05099574    460.46766476      2.69257214      0.01110350
 21727.05599824    460.25562591      2.69381260      0.01107425
 21737.06100074    460.04378224      2.69505306      0.01104325
 21747.06600324    459.83213350      2.69629353      0.01101074
 21757.07100574    459.62067941      2.69753399      0.01097694
 21767.07600824    459.40941970      2.69877445      0.01094210
 21777.08101075    459.19835412      2.70001492      0.01090648
 21787.08601325    458.98748238      2.70125538      0.01087034
 21797.09101575    458.77680422      2.70249584      0.01083395
 21807.09601825    458.56631939      2.70373630      0.01079758
 21817.10102075    458.35602760      2.70497677      0.01076151
 21827.10602325    458.14592860      2.70621723      0.01072605
 21837.11102575    457.93602211      2.70745769      0.01069147
 21847.11602825    457.72630789      2.70869815      0.01065809
 21857.12103076    457.51678565      2.70993862      0.01062620
 21867.12603326    457.30745514      2.71117908      0.01059612
 21877.13103576    457.09831610      2.71241954      0.01056816
 21887.13603826    456.88936826      2.71366000      0.01054263
 21897.14104076    456.68061136      2.71490047      0.01051986
 21907.14604326    456.47204514      2.71614093      0.01050018
 21917.15104576    456.26366934      2.71738139      0.01048390
 21927.15604826    456.05548369      2.71862186      0.01047135
 21937.16105077    455.84748794      2.71986232      0.01046287
 21947.16605327    455.63968183      2.72110278      0.01045879
 21957.17105577    455.43206510      2.72234324      0.01045942
 21967.17605827    455.22463748      2.72358371      0.01046512
 21977.18106077    455.01739873      2.72482417      0.01047620
 21987.18606327    454.81034857      2.72606463      0.01049299
 21997.19106577    454.60348677      2.72730509      0.01051582
 22007.19606827    454.39681305      2.72854556      0.01054503
 22017.20107078    454.19032716      2.72978602      0.01058092
 22027.20607328    453.98402886      2.73102648      0.01062383
 22037.21107578    453.77791787      2.73226694      0.01067407
 22047.21607828    453.57199395      2.73350741      0.01073195
 22057.22108078    453.36625684      2.73474787      0.01079779
 22067.22608328    453.16070628      2.73598833      0.01087189
 22077.23108578    452.95534203      2.73722880      0.01095456
 22087.23608828    452.75016383      2.73846926      0.01104607
 22097.24109079    452.54517143      2.73970972      0.01114674
 22107.24609329    452.34036457      2.74095018      0.01125682
 22117.25109579    452.13574301      2.74219065      0.01137661
 22127.25609829    451.93130649      2.74343111      0.01150637
 22137.26110079    451.72705476      2.74467157      0.01164636
 22147.26610329    451.52298758      2.74591203      0.01179683
 22157.27110579    451.31910468      2.74715250      0.01195802
 22167.27610829    451.11540582      2.74839296      0.01213017
 22177.28111080    450.91189076      2.74963342      0.01231350
 22187.28611330    450.70855924      2.75087388      0.01250821
 22197.29111580    450.50541102      2.75211435      0.01271452
 22207.29611830    450.30244584      2.75335481      0.01293261
 22217.30112080    450.09966347      2.75459527      0.01316267
 22227.30612330    449.89706364      2.75583574      0.01340484
 22237.31112580    449.69464613      2.75707620      0.01365930
 22247.31612830    449.49241068      2.75831666      0.01392617
 22257.32113081    449.29035704      2.75955712      0.01420559
 22267.32613331    449.08848497      2.76079759      0.01449766
 22277.33113581    448.88679423      2.76203805      0.01480247
