Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 19172.02219008    521.59337489      2.37702867      0.00139030
 19182.02719258    521.32132111      2.37826913      0.00142111
 19192.03219508    521.04955098      2.37950959      0.00145202
 19202.03719758    520.77806405      2.38075006      0.00148299
 19212.04220009    520.50685989      2.38199052      0.00151399
 19222.04720259    520.23593805      2.38323098      0.00154498
 19232.05220509    519.96529808      2.38447144      0.00157590
 19242.05720759    519.69493956      2.38571191      0.00160672
 19252.06221009    519.42486205      2.38695237      0.00163739
 19262.06721259    519.15506509      2.38819283      0.00166787
 19272.07221509    518.88554827      2.38943329      0.00169812
 19282.07721759    518.61631113      2.39067376      0.00172810
 19292.08222010    518.34735326      2.39191422      0.00175777
 19302.08722260    518.07867420      2.39315468      0.00178709
 19312.09222510    517.81027353      2.39439515      0.00181602
 19322.09722760    517.54215082      2.39563561      0.00184453
 19332.10223010    517.27430564      2.39687607      0.00187258
 19342.10723260    517.00673755      2.39811653      0.00190015
 19352.11223510    516.73944612      2.39935700      0.00192720
 19362.11723760    516.47243093      2.40059746      0.00195370
 19372.12224011    516.20569154      2.40183792      0.00197964
 19382.12724261    515.93922754      2.40307838      0.00200499
 19392.13224511    515.67303849      2.40431885      0.00202972
 19402.13724761    515.40712397      2.40555931      0.00205382
 19412.14225011    515.14148355      2.40679977      0.00207728
 19422.14725261    514.87611681      2.40804023      0.00210008
 19432.15225511    514.61102333      2.40928070      0.00212220
 19442.15725761    514.34620269      2.41052116      0.00214363
 19452.16226012    514.08165446      2.41176162      0.00216437
 19462.16726262    513.81737823      2.41300209      0.00218441
 19472.17226512    513.55337358      2.41424255      0.00220373
 19482.17726762    513.28964008      2.41548301      0.00222233
 19492.18227012    513.02617732      2.41672347      0.00224020
 19502.18727262    512.76298488      2.41796394      0.00225735
 19512.19227512    512.50006235      2.41920440      0.00227375
 19522.19727762    512.23740931      2.42044486      0.00228941
 19532.20228013    511.97502535      2.42168532      0.00230432
 19542.20728263    511.71291006      2.42292579      0.00231848
 19552.21228513    511.45106302      2.42416625      0.00233187
 19562.21728763    511.18948382      2.42540671      0.00234450
 19572.22229013    510.92817205      2.42664717      0.00235636
 19582.22729263    510.66712730      2.42788764      0.00236744
 19592.23229513    510.40634916      2.42912810      0.00237774
 19602.23729763    510.14583722      2.43036856      0.00238725
 19612.24230014    509.88559108      2.43160903      0.00239597
 19622.24730264    509.62561033      2.43284949      0.00240389
 19632.25230514    509.36589456      2.43408995      0.00241101
 19642.25730764    509.10644337      2.43533041      0.00241732
 19652.26231014    508.84725635      2.43657088      0.00242283
 19662.26731264    508.58833310      2.43781134      0.00242754
 19672.27231514    508.32967323      2.43905180      0.00243144
 19682.27731764    508.07127632      2.44029226      0.00243454
 19692.28232015    507.81314197      2.44153273      0.00243685
 19702.28732265    507.55526979      2.44277319      0.00243838
 19712.29232515    507.29765938      2.44401365      0.00243914
 19722.29732765    507.04031034      2.44525411      0.00243914
 19732.30233015    506.78322227      2.44649458      0.00243840
